ID,REGIÓN,PROVINCIA,DISTRITO,Codigo del Recurso,Nombre del Recurso,CATEGORIA,Tipo de Categoria,Sub tipo Categoria,URL,LATITUD,LONGITUD
1,Cusco,Canas,LANGUI,12,Laguna De Langui-Layo,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12,-71.16602045996092,-14.499080282861806
2,Cajamarca,Contumaza,YONAN,16,Petrogligos De Yonan,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Petroglifos (Grabados en piedra),http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=16,-79.130786,-7.2531078579146415
3,Amazonas,Chachapoyas,LEVANTO,17,Sitio Arqueológico De Collacruz,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=17,-77.89887399999998,-6.308009
4,Huanuco,Huanuco,HUANUCO,20,Pinturas Rupestres De Quillarumi,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Pintura Rupestre,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=20,-76.2905993703614,-9.937153171539153
5,Huanuco,Ambo,AMBO,21,Laguna Rumichaca,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=21,-76.12607002258301,-10.096642091769294
6,Huanuco,Lauricocha,SAN MIGUEL DE CAURI,22,Laguna De Lauricocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=22,-76.66389048099518,-10.315821774759021
7,Apurimac,Aymaraes,CARAYBAMBA,29,Andenerías De Caraybamba,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Puentes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=29,-73.16687717196658,-14.367851237036547
8,Apurimac,Cotabambas,CHALLHUAHUACHO,30,Complejo Arqueologico De Markapuchungo,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=30,-72.24641025066376,-14.118602157492754
9,Apurimac,Abancay,ABANCAY,31,Puente Colonial Pachachaca,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Puentes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=31,-72.93738612268447,-13.663068141447953
10,Apurimac,Abancay,CURAHUASI,32,Templo Santa Catalina De Curahuasi,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=32,-72.6959277777778,-13.542775
11,Apurimac,Aymaraes,CHALHUANCA,33,Templo De Chuquinga,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=33,-73.25610277777776,-14.292108333333333
12,Apurimac,Chincheros,COCHARCAS,34,Templo Colonial De Cocharcas,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=34,-73.73803403439331,-13.611938030618077
13,Ica,Pisco,HUMAY,37,Centro Administrativo Inca De Tambo Colorado,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=37,-75.829436480999,-13.705115566033848
14,Junín,Concepcion,COMAS,42,Laguna De Pomacocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=42,-75.25457668255615,-11.784863884497788
15,Madre De Dios,Tambopata,LABERINTO,46,Lago Pastora Grande,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=46,-69.5463752746582,-12.616384568879766
16,Piura,Piura,CASTILLA,47,Represa Los Ejidos,"4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS",Centros Científicos y Técnicos,Represas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=47,-80.6146502494812,-5.15925405822565
17,Piura,Piura,PIURA,49,Iglesia Nuestra Señora Del Carmen,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=49,-80.62566608190536,-5.193248647927614
18,Piura,Piura,PIURA,50,Parque Ecologico Kurt Beer,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Parques,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=50,-80.66737309098244,-5.208107683417542
19,Piura,Sechura,SECHURA,53,Playa Las Delicias,1. SITIOS NATURALES,Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=53,-80.85269199999999,-5.700647
20,Piura,Sechura,SECHURA,54,Playa Punta Nunura O Shode,1. SITIOS NATURALES,Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=54,-81.12722300000001,-5.859427
21,Piura,Sechura,SECHURA,56,Isla Lobos De Tierra,1. SITIOS NATURALES,Costas,Islas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=56,-80.85474014282226,-6.435741924446014
22,Piura,Sechura,SECHURA,57,Caleta Matacaballo,1. SITIOS NATURALES,Costas,Caletas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=57,-80.85198200000002,-5.637162
